audio_mode,audio_split,checkpoint_path,checkpoint_sha256,checkpoint_step,integrated_unintended_key_state,max_target_key_state,max_unintended_key_state,mean_action_saturation,mismatched_sequence,native_reward_sum,pressed_key_f1,pressed_key_precision,pressed_key_recall,pressed_keys,sequence,sequence_group,sequence_name,shaped_return,strict_outcome,target_keys,timestep_f1,timestep_precision,timestep_recall,variant_index,wrong_press_count,wrong_pressed_keys
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.0970119521021843,0.3384639620780945,0.8741315603256226,0.08441558441558442,74-73,10.166487994143896,0.6666666666666666,1.0,0.5,53,73-74,transition,transition_73_74,-16.093851680047063,missed,52-53,0.0,0.0,0.0,0,0,
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.08460284024477005,0.8741315603256226,0.679420530796051,0.08441558441558442,,11.153335107842054,0.6666666666666666,1.0,0.5,53,74-73,transition,transition_74_73,-2.7803079029166575,missed,52-53,0.14285714285714288,1.0,0.07692307692307693,0,0,
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07016645967960358,0.09010510891675949,0.807183563709259,0.20779220779220772,,13.58850724492263,0.0,0.0,0.0,,74-73,transition,transition_74_73,-6.963221328454905,missed,52-53,0.0,0.0,0.0,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.1527072638273239,0.8741315603256226,0.8660669922828674,0.10064935064935066,74-75,12.325017052651171,0.6666666666666666,1.0,0.5,53,74-73,transition,transition_74_73,-15.663762394355421,missed,52-53,0.14285714285714288,1.0,0.07692307692307693,0,0,
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.1527072638273239,0.8741315603256226,0.8660669922828674,0.10064935064935066,,12.325017052651171,0.6666666666666666,1.0,0.5,53,74-75,transition,transition_74_75,-15.663762394355421,missed,53-54,0.14285714285714288,1.0,0.07692307692307693,0,0,
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07016645967960358,0.09010510891675949,0.807183563709259,0.20779220779220772,,13.58850724492263,0.0,0.0,0.0,,74-75,transition,transition_74_75,-6.963221328454905,missed,53-54,0.0,0.0,0.0,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.17103241980075837,0.0,1.0,0.07467532467532469,75-74,10.060616231735912,0.6666666666666666,1.0,0.5,54,74-75,transition,transition_74_75,-31.173587994139965,missed,53-54,0.0,0.0,0.0,0,0,
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.13045551851391793,1.0,0.7448777556419373,0.07467532467532469,,11.220542051863116,0.6666666666666666,1.0,0.5,54,75-74,transition,transition_75_74,-9.61440984054854,missed,53-54,0.14285714285714288,1.0,0.07692307692307693,0,0,
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.024886597320437433,0.807183563709259,0.40762683749198914,0.20779220779220772,,14.160003215154608,0.0,0.0,0.0,,75-74,transition,transition_75_74,4.290902809141189,missed,53-54,0.0,0.0,0.0,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.13624245300889015,1.0,1.0,0.08116883116883118,75-76,10.344847156523526,0.5,0.5,0.5,54-58,75-74,transition,transition_75_74,-32.24982327811062,dirty_pressed_wrong_key,53-54,0.13333333333333336,0.5,0.07692307692307693,0,1,58
