audio_mode,correctly_executed_prefix_length_max,correctly_executed_prefix_length_mean,correctly_executed_prefix_length_min,first_error_position_max,first_error_position_mean,first_error_position_min,model_label,ordered_event_accuracy_max,ordered_event_accuracy_mean,ordered_event_accuracy_min,original_transition_coverage_fraction,sequence_count,target_event_hit_rate_max,target_event_hit_rate_mean,target_event_hit_rate_min,timestep_f1_max,timestep_f1_mean,timestep_f1_min,transition_event_pair_accuracy_max,transition_event_pair_accuracy_mean,transition_event_pair_accuracy_min,unintended_presses_per_target_event_max,unintended_presses_per_target_event_mean,unintended_presses_per_target_event_min
mismatched,0.0,0.0,0.0,0.0,0.0,0.0,Pipeline2 seed13 1M,0.0,0.0,0.0,1.0,4,0.2,0.0875,0.0,0.01360544217687075,0.0034013605442176874,0.0,0.0,0.0,0.0,0.65,0.49583333333333335,0.3333333333333333
zero,0.0,0.0,0.0,0.0,0.0,0.0,Pipeline2 seed13 1M,0.0,0.0,0.0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed61 1M,0.3333333333333333,0.2888888888888889,0.2,0.0,3,0.4,0.35555555555555557,0.3333333333333333,0.37837837837837834,0.2594594594594594,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed61 1M,0.1,0.1,0.1,0.1111111111111111,2,0.2,0.15000000000000002,0.1,0.09523809523809523,0.07936507936507936,0.06349206349206349,0.0,0.0,0.0,0.1,0.05,0.0
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed61 1M,0.05,0.05000000000000001,0.05,0.15789473684210525,3,0.15,0.10000000000000002,0.05,0.06451612903225806,0.04830107526881721,0.032,0.0,0.0,0.0,0.1,0.05000000000000001,0.0
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed61 1M,0.2,0.2,0.2,0.25,2,0.4,0.4,0.4,0.18181818181818182,0.1534090909090909,0.125,0.0,0.0,0.0,0.0,0.0,0.0
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed61 1M,0.1,0.1,0.1,0.3333333333333333,1,0.2,0.2,0.2,0.09375000000000001,0.09375000000000001,0.09375000000000001,0.0,0.0,0.0,0.1,0.1,0.1
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed61 1M,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.1739130434782609,0.1739130434782609,0.1739130434782609,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed61 1M,0.3333333333333333,0.17083333333333334,0.05,1.0,8,0.4,0.30208333333333337,0.05,0.208955223880597,0.16763035105339974,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0
mismatched,0.0,0.0,0.0,0.0,0.0,0.0,Pipeline2 seed61 1M,0.0,0.0,0.0,1.0,4,0.2,0.05,0.0,0.0606060606060606,0.01515151515151515,0.0,0.0,0.0,0.0,0.3333333333333333,0.19583333333333336,0.05
zero,0.0,0.0,0.0,0.0,0.0,0.0,Pipeline2 seed61 1M,0.0,0.0,0.0,1.0,4,0.8,0.5083333333333333,0.3,0.1219512195121951,0.07082071140813839,0.0,0.75,0.3921783625730994,0.0,1.6666666666666667,1.0916666666666668,0.5
